id;levelFile;levelNumber;agent;result;steps;playTimeMillis
AStarAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;10;cz.sokoban4j.playground.AStarAgent;VICTORY;195;51005
AStarAgent;Aymeric_du_Peloux_1_Minicosmos.sok;13;cz.sokoban4j.playground.AStarAgent;VICTORY;121;31045
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;4;cz.sokoban4j.playground.AStarAgent;VICTORY;158;56249
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;17;cz.sokoban4j.playground.AStarAgent;VICTORY;185;58026
AStarAgent;Blazz2.sok;1;cz.sokoban4j.playground.AStarAgent;TIMEOUT;0;120006
AStarAgent;Cosmonotes.sok;8;cz.sokoban4j.playground.AStarAgent;VICTORY;220;71191
AStarAgent;Jacques_Duthen_Sokogen.sok;77;cz.sokoban4j.playground.AStarAgent;VICTORY;177;57432
AStarAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;3;cz.sokoban4j.playground.AStarAgent;TIMEOUT;5;120000
AStarAgent;Jacques_Duthen_Sokogen.sok;75;cz.sokoban4j.playground.AStarAgent;VICTORY;101;41723
AStarAgent;Aymeric_du_Peloux_1_Minicosmos.sok;23;cz.sokoban4j.playground.AStarAgent;VICTORY;177;48308
AStarAgent;A.K.K._Informatika.sok;1;cz.sokoban4j.playground.AStarAgent;VICTORY;70;40657
AStarAgent;Cosmonotes.sok;6;cz.sokoban4j.playground.AStarAgent;TIMEOUT;0;120003
AStarAgent;Cosmonotes.sok;5;cz.sokoban4j.playground.AStarAgent;TIMEOUT;90;120016
AStarAgent;Cosmonotes.sok;3;cz.sokoban4j.playground.AStarAgent;VICTORY;206;63613
AStarAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;2;cz.sokoban4j.playground.AStarAgent;VICTORY;133;66734
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;19;cz.sokoban4j.playground.AStarAgent;TIMEOUT;58;120013
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;20;cz.sokoban4j.playground.AStarAgent;VICTORY;203;62212
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;14;cz.sokoban4j.playground.AStarAgent;VICTORY;238;108839
AStarAgent;Blazz.sok;2;cz.sokoban4j.playground.AStarAgent;VICTORY;95;101500
AStarAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;11;cz.sokoban4j.playground.AStarAgent;TIMEOUT;0;120009
AStarAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;13;cz.sokoban4j.playground.AStarAgent;TIMEOUT;0;120002
